name,club,injuries
Matheus Cunha,Atlético de Madrid,"[('22/23', 'Muscle Injury', 'Sep 2, 2022', 'Sep 9, 2022', '7', '2'), ('21/22', 'Knee Injury', 'Feb 17, 2022', 'Mar 31, 2022', '42', '7'), ('21/22', 'Muscle Injury', 'Oct 1, 2021', 'Oct 18, 2021', '17', '1'), ('20/21', 'Ankle Injury', 'May 10, 2021', 'Jun 13, 2021', '34', '3'), ('20/21', 'Hamstring Injury', 'Feb 28, 2021', 'Mar 15, 2021', '15', '2'), ('20/21', 'groin strain', 'Jan 9, 2021', 'Jan 14, 2021', '5', '1'), ('19/20', 'Concussion', 'May 28, 2020', 'Jun 10, 2020', '13', '2'), ('19/20', 'Quarantine', 'Mar 17, 2020', 'Mar 31, 2020', '14', 0), ('19/20', 'Ill', 'Jan 19, 2020', 'Jan 22, 2020', '3', 0)]"
Álex Remiro,Real Sociedad,"[('18/19', 'Ankle Injury', 'Nov 20, 2018', 'Dec 20, 2018', '30', '6'), ('16/17', 'Head Injury', 'Mar 15, 2017', 'Mar 22, 2017', '7', '1')]"
Andoni Zubiaurre,Real Sociedad,[]
Robin Le Normand,Real Sociedad,"[('22/23', 'Metatarsal Fracture', 'Sep 3, 2022', 'Oct 8, 2022', '35', '7'), ('18/19', 'Leg Injury', 'Jan 11, 2019', 'Jan 16, 2019', '5', '1')]"
Igor Zubeldia,Real Sociedad,"[('22/23', 'Hamstring Injury', 'Sep 27, 2022', 'Oct 8, 2022', '11', '2'), ('21/22', 'Pubis bone irritation', 'Nov 6, 2021', 'Nov 22, 2021', '16', '2'), ('21/22', 'Hamstring Injury', 'May 21, 2021', 'Aug 27, 2021', '98', '3'), ('20/21', 'Muscular problems', 'Jan 27, 2021', 'Feb 1, 2021', '5', '1'), ('18/19', 'Muscle Injury', 'Apr 21, 2019', 'May 2, 2019', '11', '2'), ('17/18', 'Torn Muscle Fibre', 'May 7, 2018', 'May 17, 2018', '10', '1'), ('17/18', 'Knock', 'Oct 7, 2017', 'Oct 14, 2017', '7', '1'), ('17/18', 'Muscle Injury', 'Aug 2, 2017', 'Sep 2, 2017', '31', '2')]"
Aritz Elustondo,Real Sociedad,"[('19/20', 'Foot Injury', 'Jul 14, 2020', 'Jul 18, 2020', '4', '1'), ('19/20', 'Concussion', 'Jan 1, 2020', 'Jan 27, 2020', '26', '5'), ('19/20', 'Muscle Injury', 'Oct 16, 2019', 'Nov 6, 2019', '21', '4'), ('19/20', 'Muscle Injury', 'Aug 14, 2019', 'Sep 14, 2019', '31', '4'), ('18/19', 'Knee Problems', 'May 5, 2019', 'May 15, 2019', '10', '1'), ('18/19', 'Muscular problems', 'Jan 29, 2019', 'Feb 23, 2019', '25', '3'), ('18/19', 'Ankle Injury', 'Dec 6, 2018', 'Dec 20, 2018', '14', '2'), ('18/19', 'Muscle Injury', 'Nov 19, 2018', 'Dec 3, 2018', '14', '2'), ('17/18', 'Strain', 'Apr 29, 2018', 'May 17, 2018', '18', '2'), ('16/17', 'Achilles Irritation', 'Sep 13, 2016', 'Sep 21, 2016', '8', '2')]"
Jon Pacheco,Real Sociedad,"[('21/22', 'Knee Injury', 'Sep 21, 2021', 'Oct 15, 2021', '24', '3')]"
Aihen Muñoz,Real Sociedad,"[('22/23', 'Hamstring Injury', 'Oct 17, 2022', '-', '40', '8'), ('19/20', 'Ankle Injury', 'Oct 23, 2019', 'Nov 23, 2019', '31', '5')]"
Diego Rico,Real Sociedad,"[('22/23', 'Muscle Injury', 'Aug 15, 2022', 'Sep 14, 2022', '30', '5'), ('21/22', 'Muscle Injury', 'Aug 11, 2021', 'Nov 5, 2021', '86', '16'), ('20/21', 'Knee Problems', 'Sep 10, 2020', 'Sep 17, 2020', '7', '2'), ('19/20', 'Knock', 'Jan 23, 2020', 'Jan 31, 2020', '8', '1'), ('18/19', 'Ankle Injury', 'Apr 6, 2019', 'May 31, 2019', '55', '6'), ('18/19', 'Hamstring Injury', 'Sep 23, 2018', 'Sep 30, 2018', '7', '1'), ('16/17', 'Knock', 'Apr 10, 2017', 'Apr 20, 2017', '10', '1'), ('16/17', 'Sprained ankle', 'Nov 22, 2016', 'Jan 18, 2017', '57', '8')]"
Andoni Gorosabel,Real Sociedad,"[('22/23', 'Ankle Injury', 'Oct 3, 2022', 'Oct 11, 2022', '8', '2'), ('20/21', 'Muscle Injury', 'Nov 2, 2020', 'Nov 27, 2020', '25', '4'), ('18/19', 'Metatarsal Fracture', 'Dec 16, 2018', 'Apr 16, 2019', '121', '18')]"
Álex Sola,Real Sociedad,"[('22/23', 'Knee Problems', 'Oct 12, 2022', 'Nov 2, 2022', '21', '6'), ('22/23', 'Hamstring Injury', 'Jul 18, 2022', 'Aug 26, 2022', '39', '2'), ('21/22', 'Mensical Laceration', 'Aug 15, 2021', 'Nov 20, 2021', '97', '15'), ('19/20', 'Cruciate Ligament Rupture', 'Jul 5, 2020', 'Jan 5, 2021', '184', '18')]"
Martín Zubimendi,Real Sociedad,"[('22/23', 'Tear in the abductor muscle', 'Jul 16, 2022', 'Jul 25, 2022', '9', 0), ('21/22', 'Hip Injury', 'Oct 22, 2021', 'Oct 27, 2021', '5', '1'), ('20/21', 'Muscle Injury', 'Sep 4, 2020', 'Sep 25, 2020', '21', '2')]"
Asier Illarramendi,Real Sociedad,"[('21/22', 'Muscle Injury', 'Aug 18, 2021', 'Nov 27, 2021', '101', '18'), ('19/20', 'Tear in the abductor muscle', 'Jun 15, 2020', 'Jan 1, 2021', '200', '33'), ('19/20', 'Ankle Injury', 'Aug 31, 2019', 'Mar 8, 2020', '190', '30'), ('18/19', 'Muscle Injury', 'Feb 11, 2019', 'May 11, 2019', '89', '13'), ('16/17', 'Hamstring Injury', 'Mar 27, 2017', 'Apr 10, 2017', '14', '3'), ('16/17', 'Muscular problems', 'Dec 18, 2016', 'Jan 3, 2017', '16', '1'), ('11/12', 'Mensical Laceration', 'Nov 21, 2011', 'Jan 21, 2012', '61', '11'), ('11/12', 'Torn Muscle Fibre', 'Oct 6, 2011', 'Oct 25, 2011', '19', '2')]"
Mikel Merino,Real Sociedad,"[('21/22', 'Hamstring Injury', 'Nov 26, 2021', 'Dec 17, 2021', '21', '6'), ('19/20', 'Muscular problems', 'Jan 30, 2020', 'Feb 5, 2020', '6', '1'), ('18/19', 'Groin Injury', 'Sep 30, 2018', 'Nov 22, 2018', '53', '6'), ('17/18', 'Knee Injury', 'Apr 23, 2018', 'May 5, 2018', '12', '3'), ('17/18', 'Back Injury', 'Oct 29, 2017', 'Nov 24, 2017', '26', '3'), ('16/17', 'Ill', 'Nov 28, 2016', 'Dec 5, 2016', '7', '1'), ('16/17', 'Knee inflammation ', 'Sep 5, 2016', 'Sep 12, 2016', '7', '1'), ('15/16', 'Muscle Injury', 'Mar 17, 2016', 'Apr 4, 2016', '18', '3'), ('14/15', 'Minor Knock', 'Apr 30, 2015', 'May 7, 2015', '7', '1')]"
Brais Méndez,Real Sociedad,"[('21/22', 'Unknown Injury', 'Oct 3, 2021', 'Oct 15, 2021', '12', '1'), ('18/19', 'Hamstring Injury', 'Apr 4, 2019', 'Apr 26, 2019', '22', '4')]"
Ander Guevara,Real Sociedad,"[('22/23', 'Muscle Injury', 'Aug 26, 2022', 'Sep 7, 2022', '12', '2'), ('19/20', 'Ankle Injury', 'May 27, 2020', 'Aug 27, 2020', '92', '11'), ('18/19', 'Torn Muscle Fibre', 'Mar 22, 2019', 'May 8, 2019', '47', '7')]"
Beñat Turrientes,Real Sociedad,[]
Robert Navarro,Real Sociedad,"[('18/19', 'Knock', 'Dec 2, 2018', 'Jan 4, 2019', '33', 0)]"
David Silva,Real Sociedad,"[('22/23', 'Hamstring Injury', 'Oct 24, 2022', 'Nov 4, 2022', '11', '3'), ('21/22', 'Muscle Injury', 'Nov 26, 2021', 'Dec 16, 2021', '20', '6'), ('21/22', 'Muscle Injury', 'Sep 13, 2021', 'Oct 15, 2021', '32', '6'), ('20/21', 'Hamstring Injury', 'Dec 23, 2020', 'Feb 5, 2021', '44', '8'), ('20/21', 'Muscle Injury', 'Dec 14, 2020', 'Dec 20, 2020', '6', '2'), ('20/21', 'Muscle Injury', 'Dec 4, 2020', 'Dec 12, 2020', '8', '2'), ('20/21', 'Hamstring Injury', 'Nov 23, 2020', 'Dec 2, 2020', '9', '2'), ('20/21', 'Corona virus', 'Aug 31, 2020', 'Sep 11, 2020', '11', 0), ('19/20', 'Knock', 'Dec 8, 2019', 'Dec 31, 2019', '23', '6'), ('19/20', 'Ill', 'Nov 24, 2019', 'Nov 25, 2019', '1', 0), ('19/20', 'Strain', 'Nov 3, 2019', 'Nov 9, 2019', '6', '1'), ('18/19', 'Hamstring Injury', 'Dec 8, 2018', 'Dec 26, 2018', '18', '6'), ('18/19', 'Knock', 'Aug 3, 2018', 'Aug 18, 2018', '15', '2'), ('17/18', 'Unknown Injury', 'Jan 31, 2018', 'Feb 11, 2018', '11', '3'), ('15/16', 'Knock', 'Apr 28, 2016', 'May 29, 2016', '31', '4')]"
Mikel Oyarzabal,Real Sociedad,"[('21/22', 'Cruciate Ligament Rupture', 'Mar 17, 2022', '-', '254', '31'), ('21/22', 'Torn Muscle Fibre', 'Oct 15, 2021', 'Nov 19, 2021', '35', '7'), ('20/21', 'Muscle Injury', 'Dec 4, 2020', 'Dec 28, 2020', '24', '6'), ('20/21', 'Corona virus', 'Sep 1, 2020', 'Sep 10, 2020', '9', 0), ('18/19', 'Muscular problems', 'Oct 23, 2018', 'Oct 31, 2018', '8', '1'), ('17/18', 'Muscular problems', 'Sep 6, 2017', 'Sep 23, 2017', '17', '4'), ('16/17', 'Shoulder Injury', 'Nov 28, 2016', 'Dec 2, 2016', '4', '1')]"
Ander Barrenetxea,Real Sociedad,"[('22/23', 'Muscular problems', 'Oct 20, 2022', '-', '37', '7'), ('22/23', 'Muscle Injury', 'Sep 10, 2022', 'Oct 14, 2022', '34', '7'), ('21/22', 'Thigh muscle rupture', 'Jan 3, 2022', 'Jun 20, 2022', '168', '24'), ('21/22', 'Muscle Injury', 'Sep 11, 2021', 'Oct 29, 2021', '48', '11'), ('19/20', 'Muscle Injury', 'Jun 14, 2020', 'Jul 6, 2020', '22', '7'), ('19/20', 'Muscle Injury', 'Feb 11, 2020', 'Feb 27, 2020', '16', '2'), ('19/20', 'Muscle Injury', 'Aug 22, 2019', 'Sep 22, 2019', '31', '4'), ('19/20', 'Torn Muscle Fibre', 'Jul 31, 2019', 'Aug 14, 2019', '14', 0)]"
Martín Merquelanz,Real Sociedad,"[('21/22', 'Knee Injury', 'Sep 11, 2021', '-', '441', 0), ('18/19', 'Knee Injury', 'Sep 1, 2018', 'Aug 1, 2019', '334', 0), ('17/18', 'Cruciate Ligament Rupture', 'Dec 10, 2017', 'Jun 10, 2018', '182', '23')]"
Takefusa Kubo,Real Sociedad,"[('22/23', 'Shoulder Injury', 'Oct 29, 2022', 'Nov 4, 2022', '6', '2'), ('21/22', 'Meniscal Injury', 'Sep 23, 2021', 'Nov 24, 2021', '62', '8'), ('18/19', 'Facial Injury', 'Apr 15, 2019', 'Apr 20, 2019', '5', '1')]"
Umar Sadiq,Real Sociedad,"[('22/23', 'Cruciate Ligament Rupture', 'Sep 12, 2022', '-', '75', '15'), ('19/20', 'Knock', 'Mar 5, 2020', 'Apr 23, 2020', '49', '3'), ('16/17', 'Ankle Surgery', 'Nov 24, 2016', 'Jan 26, 2017', '63', '9'), ('16/17', 'Bruise on the shin', 'Nov 3, 2016', 'Nov 21, 2016', '18', '2'), ('16/17', 'Bruised Ankle', 'Sep 1, 2016', 'Oct 3, 2016', '32', '5')]"
Momo Cho,Real Sociedad,"[('22/23', 'Hamstring Injury', 'Oct 10, 2022', '-', '47', '10'), ('22/23', 'Hamstring Injury', 'Sep 25, 2022', 'Oct 8, 2022', '13', '2')]"
Alexander Sörloth,Real Sociedad,"[('22/23', 'Ill', 'Nov 14, 2022', 'Nov 18, 2022', '4', 0), ('22/23', 'Influenza', 'Oct 20, 2022', 'Oct 28, 2022', '8', '2'), ('22/23', 'Bruised Foot', 'Jul 22, 2022', 'Jul 31, 2022', '9', '1'), ('21/22', 'Ill', 'Jan 7, 2022', 'Jan 9, 2022', '2', '1'), ('21/22', 'Hamstring Injury', 'Sep 23, 2021', 'Oct 15, 2021', '22', '4'), ('21/22', 'Ill', 'Aug 12, 2021', 'Aug 25, 2021', '13', 0), ('18/19', 'Virus Infection', 'Oct 18, 2018', 'Oct 27, 2018', '9', '1'), ('15/16', 'Hand fracture', 'Feb 1, 2016', 'Feb 12, 2016', '11', '1')]"
Jon Karrikaburu,Real Sociedad,[]
Carlos Fernández,Real Sociedad,"[('22/23', 'Hamstring Injury', 'Aug 13, 2022', 'Sep 30, 2022', '48', '8'), ('21/22', 'Cruciate Ligament Rupture', 'Jul 31, 2021', 'Jun 30, 2022', '334', '51'), ('20/21', 'Muscle Injury', 'Apr 26, 2021', 'Jun 26, 2021', '61', '6'), ('20/21', 'Corona virus', 'Nov 20, 2020', 'Dec 3, 2020', '13', '4'), ('18/19', 'Meniscal Injury', 'Jul 9, 2018', 'Sep 11, 2018', '64', '4'), ('17/18', 'Muscle Injury', 'Apr 28, 2018', 'May 28, 2018', '30', '5'), ('17/18', 'Ankle Injury', 'Dec 22, 2017', 'Jan 18, 2018', '27', '2'), ('17/18', 'Torn Muscle Fibre', 'Oct 22, 2017', 'Nov 22, 2017', '31', '4'), ('17/18', 'Muscular problems', 'Sep 5, 2017', 'Sep 15, 2017', '10', '1'), ('16/17', 'Cruciate Ligament Rupture', 'Oct 6, 2016', 'Jul 6, 2017', '273', '34')]"
Gerónimo Rulli,Villarreal CF,"[('17/18', 'Cruciate Ligament Strain', 'Feb 22, 2018', 'Apr 18, 2018', '55', '9'), ('14/15', 'Metatarsal Fracture', 'Aug 28, 2014', 'Nov 6, 2014', '70', '10')]"
Filip Jörgensen,Villarreal CF,[]
Pepe Reina,Villarreal CF,"[('19/20', 'Stomach complaints', 'Aug 9, 2019', 'Sep 18, 2019', '40', '3'), ('18/19', 'Muscle Injury', 'Jan 25, 2019', 'Feb 25, 2019', '31', '6'), ('17/18', 'Minor Knock', 'Nov 2, 2017', 'Nov 9, 2017', '7', '1'), ('15/16', 'Muscle Fatigue', 'Mar 31, 2016', 'Apr 4, 2016', '4', '1'), ('14/15', 'Torn muscle bundle', 'Oct 6, 2014', 'Dec 15, 2014', '70', '13'), ('13/14', 'Knock', 'Jan 6, 2014', 'Jan 23, 2014', '17', '4'), ('12/13', 'Nasal Bone Fracture', 'Jan 14, 2013', 'Jan 28, 2013', '14', '2'), ('12/13', 'Back trouble', 'Oct 22, 2012', 'Nov 12, 2012', '21', '6')]"
Pau Torres,Villarreal CF,"[('20/21', 'Muscle Injury', 'Mar 12, 2021', 'Apr 1, 2021', '20', '3'), ('19/20', 'Muscle Injury', 'Jan 23, 2020', 'Feb 13, 2020', '21', '5')]"
Jorge Cuenca,Villarreal CF,"[('19/20', 'Tear in the abductor muscle', 'Jul 29, 2020', 'Aug 29, 2020', '31', 0), ('19/20', 'Metatarsal Fracture', 'Nov 11, 2019', 'Feb 7, 2020', '88', '11'), ('18/19', 'Nasal Bone Fracture', 'Oct 21, 2018', 'Oct 27, 2018', '6', 0), ('17/18', 'Dental Surgery', 'May 31, 2018', 'Jun 7, 2018', '7', '1')]"
Aïssa Mandi,Villarreal CF,"[('20/21', 'Corona virus', 'Nov 22, 2020', 'Dec 7, 2020', '15', '3'), ('16/17', 'Fractured Hand', 'Mar 28, 2017', 'Apr 7, 2017', '10', '2'), ('16/17', 'Tear in the abductor muscle', 'Sep 20, 2016', 'Oct 13, 2016', '23', '3'), ('16/17', 'Bruise', 'Sep 2, 2016', 'Sep 6, 2016', '4', 0), ('15/16', 'Cruciate ligament stretch', 'Sep 23, 2015', 'Nov 5, 2015', '43', '6')]"
Raúl Albiol,Villarreal CF,"[('17/18', 'Knee Surgery', 'Feb 4, 2019', 'Apr 23, 2019', '78', '17'), ('18/19', 'Muscular problems', 'Dec 3, 2018', 'Dec 9, 2018', '6', '2'), ('17/18', 'Back trouble', 'Sep 26, 2017', 'Oct 1, 2017', '5', '2'), ('16/17', 'Biceps femoris muscle injury', 'Sep 29, 2016', 'Nov 7, 2016', '39', '8'), ('16/17', 'Cheek bone contusion', 'Aug 27, 2016', 'Aug 29, 2016', '2', '1'), ('13/14', 'Unknown Injury', 'May 5, 2014', 'May 30, 2014', '25', '3'), ('13/14', 'Adductor problems', 'Oct 5, 2013', 'Oct 13, 2013', '8', '1'), ('11/12', 'Cheekbone Fracture', 'Oct 9, 2011', 'Nov 1, 2011', '23', '5'), ('10/11', 'Stretched Ligament', 'Aug 17, 2010', 'Sep 19, 2010', '33', '4')]"
Alfonso Pedraza,Villarreal CF,"[('20/21', 'Muscle Injury', 'Sep 20, 2020', 'Oct 14, 2020', '24', '3'), ('19/20', 'Achilles tendon problems', 'Feb 2, 2020', 'Mar 5, 2020', '32', '5'), ('19/20', 'Muscle Injury', 'Dec 5, 2019', 'Jan 25, 2020', '51', '8'), ('19/20', 'Knee Injury', 'Oct 30, 2019', 'Nov 20, 2019', '21', '3'), ('19/20', 'Heel pain', 'Sep 24, 2019', 'Sep 24, 2019', '0', '1'), ('17/18', 'Hamstring Injury', 'May 13, 2018', 'May 27, 2018', '14', '1'), ('17/18', 'Sprained ankle', 'Apr 16, 2018', 'Apr 21, 2018', '5', '1')]"
Johan Mojica,Villarreal CF,"[('20/21', 'Muscular problems', 'Dec 5, 2020', 'Dec 8, 2020', '3', 0), ('18/19', 'Muscular problems', 'May 14, 2019', 'May 21, 2019', '7', '1'), ('18/19', 'Cruciate Ligament Rupture', 'Oct 17, 2018', 'May 10, 2019', '205', '34'), ('18/19', 'Hamstring Injury', 'Aug 10, 2018', 'Oct 16, 2018', '67', '8'), ('16/17', 'Achilles tendon rupture', 'Sep 26, 2016', 'Oct 29, 2016', '33', '6'), ('14/15', 'Sideband injury', 'Feb 15, 2015', 'Mar 9, 2015', '22', '4')]"
Alberto Moreno,Villarreal CF,"[('21/22', 'Cruciate Ligament Rupture', 'Mar 7, 2022', 'Sep 5, 2022', '182', '22'), ('20/21', 'Cruciate Ligament Rupture', 'Sep 2, 2020', 'Mar 15, 2021', '194', '41'), ('19/20', 'Muscle Injury', 'Jan 26, 2020', 'Feb 20, 2020', '25', '5'), ('19/20', 'Muscle Injury', 'Oct 26, 2019', 'Jan 4, 2020', '70', '9'), ('19/20', 'Muscle Injury', 'Aug 24, 2019', 'Oct 19, 2019', '56', '6'), ('18/19', 'Back Injury', 'Dec 17, 2018', 'Jan 2, 2019', '16', '3'), ('17/18', 'Ankle Injury', 'Dec 7, 2017', 'Jan 26, 2018', '50', '10'), ('13/14', 'Muscle Injury', 'Dec 16, 2013', 'Jan 9, 2014', '24', '3')]"
Juan Foyth,Villarreal CF,"[('22/23', 'Unknown Injury', 'Aug 29, 2022', 'Nov 4, 2022', '67', '15'), ('20/21', 'Muscle Injury', 'Apr 30, 2021', 'May 23, 2021', '23', '6'), ('20/21', 'Muscle Injury', 'Jan 21, 2021', 'Jan 31, 2021', '10', '3'), ('20/21', 'Hamstring Injury', 'Oct 30, 2020', 'Nov 20, 2020', '21', '3'), ('19/20', 'Meniscal Injury', 'Jan 26, 2020', 'Jul 18, 2020', '174', '16'), ('19/20', 'Ankle Injury', 'Jul 31, 2019', 'Sep 22, 2019', '53', '7'), ('18/19', 'Hamstring Injury', 'Dec 6, 2018', 'Dec 18, 2018', '12', '3'), ('18/19', 'Thigh Muscle Strain', 'Jul 21, 2018', 'Sep 26, 2018', '67', '8')]"
Kiko Femenía,Villarreal CF,"[('19/20', 'Hamstring Injury', 'Jan 2, 2020', 'Feb 28, 2020', '57', '8'), ('19/20', 'Knock', 'Dec 1, 2019', 'Dec 4, 2019', '3', '1'), ('18/19', 'Knock', 'Apr 8, 2019', 'Apr 14, 2019', '6', 0), ('18/19', 'Hamstring Injury', 'Jan 20, 2019', 'Mar 8, 2019', '47', '8'), ('17/18', 'Hamstring Injury', 'Dec 12, 2017', 'Feb 23, 2018', '73', '13'), ('17/18', 'Muscle Injury', 'Dec 8, 2017', 'Dec 10, 2017', '2', '1'), ('16/17', 'Muscle Injury', 'Oct 2, 2016', 'Oct 22, 2016', '20', '2'), ('09/10', 'Torn Muscle Fibre', 'Mar 10, 2010', 'Mar 17, 2010', '7', '1')]"
Francis Coquelin,Villarreal CF,"[('21/22', 'Achilles Irritation', 'Nov 21, 2021', 'Mar 4, 2022', '103', '19'), ('20/21', 'Ankle Injury', 'Feb 7, 2021', 'Mar 9, 2021', '30', '6'), ('20/21', 'Torn Muscle Fibre', 'Sep 28, 2020', 'Oct 15, 2020', '17', '2'), ('19/20', 'Muscle Injury', 'Jun 19, 2020', 'Jun 26, 2020', '7', '2'), ('19/20', 'Hamstring Injury', 'Feb 12, 2020', 'Mar 4, 2020', '21', '4'), ('19/20', 'Muscle Injury', 'Oct 31, 2019', 'Nov 25, 2019', '25', '4'), ('18/19', 'Muscle Injury', 'Mar 25, 2019', 'Apr 8, 2019', '14', '3'), ('18/19', 'Achilles tendon problems', 'Jan 20, 2019', 'Jan 25, 2019', '5', '1'), ('18/19', 'Calf Injury', 'Dec 16, 2018', 'Jan 11, 2019', '26', '3'), ('18/19', 'Muscular problems', 'Dec 3, 2018', 'Dec 4, 2018', '1', '1'), ('17/18', 'Achilles tendon rupture', 'Mar 16, 2018', 'Sep 22, 2018', '190', '15'), ('17/18', 'Hamstring Injury', 'Sep 9, 2017', 'Oct 12, 2017', '33', '7'), ('17/18', 'Ankle Injury', 'Jul 29, 2017', 'Aug 7, 2017', '9', '1'), ('16/17', 'Hamstring Injury', 'Jan 3, 2017', 'Jan 16, 2017', '13', '3'), ('16/17', 'Knee Injury', 'Sep 27, 2016', 'Oct 17, 2016', '20', '3')]"
Étienne Capoue,Villarreal CF,"[('20/21', 'Muscle Injury', 'Jan 31, 2021', 'Feb 17, 2021', '17', '3'), ('19/20', 'Back Injury', 'Jul 12, 2020', 'Oct 20, 2020', '100', '10'), ('19/20', 'Back Injury', 'Oct 4, 2019', 'Nov 6, 2019', '33', '5'), ('19/20', 'Back Injury', 'Aug 25, 2019', 'Sep 1, 2019', '7', '2'), ('18/19', 'Groin Strain', 'Apr 28, 2019', 'May 11, 2019', '13', '1'), ('13/14', 'Leg Injury', 'Feb 24, 2014', 'Apr 19, 2014', '54', '11'), ('13/14', 'Ankle Injury', 'Sep 1, 2013', 'Sep 28, 2013', '27', '6')]"
Giovani Lo Celso,Villarreal CF,"[('22/23', 'Torn muscle bundle', 'Oct 31, 2022', 'Dec 19, 2022', '49', '4'), ('21/22', 'Shinbone injury', 'Dec 25, 2021', 'Dec 30, 2021', '5', '2'), ('21/22', 'Knee Injury', 'Nov 18, 2021', 'Dec 15, 2021', '27', '5'), ('21/22', 'Quarantine', 'Sep 9, 2021', 'Sep 17, 2021', '8', '2'), ('20/21', 'Hamstring Injury', 'Dec 20, 2020', 'Mar 14, 2021', '84', '23'), ('20/21', 'Knock', 'Nov 22, 2020', 'Nov 28, 2020', '6', '1'), ('20/21', 'Muscle Injury', 'Oct 2, 2020', 'Oct 21, 2020', '19', '2'), ('20/21', 'Thigh Muscle Strain', 'Aug 22, 2020', 'Sep 16, 2020', '25', '1'), ('19/20', 'Strain', 'Feb 3, 2020', 'Feb 15, 2020', '12', '1'), ('19/20', 'Hip Injury', 'Sep 7, 2019', 'Oct 20, 2019', '43', '8'), ('18/19', 'Rest ', 'Aug 26, 2018', 'Sep 3, 2018', '8', '2')]"
Dani Parejo,Villarreal CF,"[('20/21', 'Muscle Injury', 'Oct 19, 2020', 'Nov 4, 2020', '16', '4'), ('18/19', 'Abdominal Strain', 'Oct 28, 2018', 'Nov 9, 2018', '12', '3'), ('15/16', 'Hamstring Injury', 'Mar 15, 2016', 'Apr 2, 2016', '18', '3'), ('12/13', 'Hand Injury', 'Jan 17, 2013', 'Feb 10, 2013', '24', '5'), ('10/11', 'Muscle fiber tear', 'Oct 25, 2010', 'Nov 6, 2010', '12', '3')]"
Manu Trigueros,Villarreal CF,"[('18/19', 'Knee Injury', 'Feb 22, 2019', 'Apr 12, 2019', '49', '10'), ('18/19', 'Muscular problems', 'Feb 15, 2019', 'Feb 19, 2019', '4', '1'), ('18/19', 'Groin Injury', 'Jan 27, 2019', 'Feb 11, 2019', '15', '2'), ('17/18', 'Groin Injury', 'May 20, 2018', 'Jul 20, 2018', '61', 0), ('17/18', 'Pubis bone irritation', 'Mar 19, 2018', 'Apr 7, 2018', '19', '1'), ('13/14', 'Fever', 'Feb 8, 2014', 'Feb 14, 2014', '6', '1')]"
Manu Morlanes,Villarreal CF,"[('21/22', 'Arch pain', 'May 11, 2022', 'May 22, 2022', '11', '3'), ('21/22', 'Hip problems', 'Feb 20, 2022', 'Mar 5, 2022', '13', '3'), ('19/20', 'Arch pain', 'Feb 2, 2020', 'May 2, 2020', '90', '7'), ('19/20', 'Ankle Injury', 'Jan 5, 2020', 'Jan 20, 2020', '15', '3'), ('19/20', 'Knee Injury', 'Sep 27, 2019', 'Nov 10, 2019', '44', '7'), ('19/20', 'Knee Problems', 'Aug 23, 2019', 'Sep 21, 2019', '29', '4'), ('16/17', 'Torn Knee Ligament', 'Dec 9, 2016', 'Apr 9, 2017', '121', 0)]"
Álex Baena,Villarreal CF,"[('17/18', 'Muscular problems', 'Apr 30, 2018', 'May 7, 2018', '7', 0)]"
Yéremy Pino,Villarreal CF,"[('21/22', 'Injury to the ankle', 'Apr 27, 2022', 'Jun 30, 2022', '64', '7'), ('20/21', 'Muscular problems', 'Jan 27, 2021', 'Feb 5, 2021', '9', '2'), ('20/21', 'Corona virus', 'Sep 13, 2020', 'Oct 3, 2020', '20', '5'), ('19/20', 'Eye Injury', 'Oct 26, 2019', 'Nov 26, 2019', '31', 0)]"
Samuel Chukwueze,Villarreal CF,"[('20/21', 'Hamstring Injury', 'May 7, 2021', 'Oct 15, 2021', '161', '15'), ('20/21', 'Groin Injury', 'Jan 16, 2021', 'Feb 16, 2021', '31', '8'), ('18/19', 'Toothache', 'May 17, 2019', 'May 19, 2019', '2', '1'), ('18/19', 'Ill', 'Feb 20, 2019', 'Feb 22, 2020', '367', '48')]"
Nicolas Jackson,Villarreal CF,"[('20/21', 'Thigh Problems', 'Oct 25, 2020', 'Nov 1, 2020', '7', '3'), ('20/21', 'Fitness', 'Oct 9, 2020', 'Oct 11, 2020', '2', '1'), ('20/21', 'Muscle fiber tear', 'Aug 1, 2020', 'Oct 9, 2020', '69', 0)]"
Gerard Moreno,Villarreal CF,"[('22/23', 'Muscle Injury', 'Sep 12, 2022', 'Nov 4, 2022', '53', '12'), ('21/22', 'Hamstring Injury', 'Apr 18, 2022', 'May 2, 2022', '14', '3'), ('21/22', 'Calf Injury', 'Feb 7, 2022', 'Mar 14, 2022', '35', '6'), ('21/22', 'Torn muscle bundle', 'Oct 25, 2021', 'Nov 29, 2021', '35', '7'), ('20/21', 'Muscle Injury', 'Jan 21, 2021', 'Feb 1, 2021', '11', '3'), ('20/21', 'Muscle Injury', 'Oct 12, 2020', 'Nov 2, 2020', '21', '5'), ('18/19', 'Muscle Injury', 'Mar 25, 2019', 'Apr 4, 2019', '10', '2'), ('15/16', 'Hamstring Injury', 'Oct 5, 2015', 'Nov 16, 2015', '42', '4')]"
